snp,p_emp,mean_abs_shap,stdev_abs_shap,mean_shap
SNP7469,0.11186440677966102,4.767526203067973e-05,2.4286442987327644e-05,9.701276818911234e-13
SNP13794,0.11186440677966102,3.978395031784506e-05,1.8440158685774793e-05,4.1230426480372745e-13
SNP726,0.11186440677966102,3.715661014818276e-05,1.843079775158109e-05,4.8506384094556176e-14
SNP13314,0.1135593220338983,4.557637391674992e-05,3.7236206211251824e-05,2.0008883439004421e-13
SNP2615,0.11694915254237288,4.160034031277367e-05,1.742157099138823e-05,2.6678511252005895e-13
SNP233,0.11694915254237288,3.0995913924319514e-05,1.75909162636613e-05,2.3040532444914184e-13
SNP5751,0.11864406779661017,5.52923985136052e-05,2.520003255372618e-05,-2.4253192047278086e-13
SNP14744,0.11864406779661017,4.298528297416245e-05,1.6582367999962068e-05,-6.305829932292303e-13
SNP7240,0.12033898305084746,4.8648726357593355e-05,2.6141849769562106e-05,1.152026622245709e-12
SNP5504,0.12203389830508475,4.7471483285335125e-05,3.1737871033574794e-05,-5.517601190755765e-13
SNP11171,0.12203389830508475,2.0601546736240077e-05,2.2228012642286545e-05,-1.2126596023639043e-13
SNP954,0.12203389830508475,4.5661584687574454e-05,2.1300060089570295e-05,2.9103830456733704e-13
SNP3563,0.12372881355932204,1.4324111540796973e-05,2.098578999668953e-05,1.4248750327775877e-13
SNP10877,0.12372881355932204,5.009015112591442e-05,2.6923971837517212e-05,-8.48861721654733e-13
SNP5711,0.12372881355932204,4.3857953502689874e-05,3.766896207431125e-05,-1.1944697083284457e-12
SNP10450,0.12372881355932204,4.5248464363491315e-05,2.401563346986452e-05,-9.580010858674843e-13
SNP3447,0.12372881355932204,4.4152084010420365e-05,1.8599403151228153e-05,5.820766091346741e-13
SNP6652,0.12372881355932204,1.9675074569628728e-05,1.6672918661224636e-05,-1.0913936421275138e-13
SNP6974,0.12542372881355932,3.935251055888027e-05,3.7035503046946506e-05,5.896557316494485e-13
SNP12856,0.12542372881355932,5.100027648344015e-05,3.101161093235443e-05,-2.9103830456733704e-13
SNP12568,0.12542372881355932,5.01119837766358e-05,2.293544280306846e-05,7.275957614183426e-13
SNP14967,0.12542372881355932,4.528886398475152e-05,2.8068568671469346e-05,-6.063298011819521e-13
SNP10899,0.12542372881355932,4.4063135989820995e-05,4.009087018403809e-05,2.633745073884105e-13
SNP260,0.12542372881355932,4.0812455845298244e-05,1.7609317587920074e-05,-4.3655745685100554e-13
SNP10988,0.1271186440677966,3.737973350022609e-05,1.6263345427724368e-05,3.880510727564494e-13
SNP8832,0.1271186440677966,4.1016202570366055e-05,1.920857387058624e-05,1.2126596023639043e-13
SNP11232,0.1271186440677966,4.729501756325287e-05,2.5799027179004e-05,1.2247861983875434e-12
SNP10254,0.1288135593220339,3.876457683266684e-05,1.7162377132685652e-05,-1.2490393904348214e-12
SNP9992,0.13050847457627118,3.8755352215957827e-05,1.3720912843148965e-05,4.1230426480372745e-13
SNP13131,0.13050847457627118,5.1051980311361455e-05,2.410179554840063e-05,-4.8506384094556176e-14
SNP14153,0.13050847457627118,3.619367854601781e-05,1.7719721971681174e-05,5.214436290164789e-13
SNP12393,0.13220338983050847,2.8212119250383694e-05,1.8214636749690114e-05,2.3040532444914184e-13
SNP8296,0.13220338983050847,4.0404685505563976e-05,3.340470383676815e-05,-4.69905595916013e-13
SNP13886,0.13220338983050847,4.5899822034698445e-05,4.6245913384749374e-05,-1.2126596023639044e-14
SNP9922,0.13389830508474576,3.3459795182958867e-05,1.3352143187987805e-05,4.3655745685100554e-13
SNP2122,0.13389830508474576,4.4059442952857356e-05,3.756124235907554e-05,-7.033425693710645e-13
SNP2323,0.13389830508474576,4.64711031660651e-05,2.9131013479809092e-05,-1.3036090725411972e-12
SNP5911,0.13389830508474576,3.0517606222322984e-05,1.553680106965013e-05,5.214436290164789e-13
SNP4049,0.13559322033898305,4.580679531500209e-05,2.1755367146760586e-05,-7.033425693710645e-13
SNP1543,0.13559322033898305,3.793853141056995e-05,2.503909754444257e-05,-1.1641532182693482e-12
SNP6157,0.13559322033898305,4.136720949948843e-05,3.4274470757334885e-05,-1.5764574830730757e-13
SNP7780,0.13559322033898305,4.380912835282894e-05,2.0358681439482354e-05,-1.940255363782247e-13
SNP10398,0.13559322033898305,1.9486943832210574e-05,1.6821710887696084e-05,4.8506384094556176e-14
SNP1853,0.13728813559322034,2.531023767005536e-05,2.639990498342473e-05,3.031649005909761e-14
SNP5608,0.13728813559322034,2.278752188431099e-05,2.0391862464819995e-05,-3.880510727564494e-13
SNP7356,0.13728813559322034,4.997898109043793e-05,2.239295799159765e-05,-7.033425693710645e-13
SNP5082,0.13728813559322034,4.260181519687952e-05,2.0771832925569907e-05,-1.2126596023639043e-13
SNP1461,0.13728813559322034,4.554743019374049e-05,3.344137538952697e-05,-4.3049415883918603e-13
SNP227,0.13728813559322034,4.545397676944655e-05,2.6402779561642258e-05,-1.2005330063402653e-12
SNP2525,0.13728813559322034,3.341631381772459e-05,1.5812558430452904e-05,1.940255363782247e-13
SNP8217,0.13728813559322034,4.9667884995869825e-05,2.9293222874375885e-05,4.971904369692007e-13
SNP7017,0.13898305084745763,4.130109858427507e-05,2.0936825900545915e-05,-4.8506384094556176e-14
SNP2654,0.13898305084745763,4.091643733318051e-05,3.5773787410173534e-05,-3.380288641589383e-13
SNP2206,0.13898305084745763,4.347379892957785e-05,2.417128488517807e-05,8.609883176783721e-13
SNP5586,0.13898305084745763,2.1821976285233784e-05,2.2833910606598013e-05,-6.548361852765083e-13
SNP2994,0.14067796610169492,4.452646068178486e-05,3.859240011293782e-05,4.69905595916013e-13
SNP8374,0.14067796610169492,2.3930938975051202e-05,2.248844307819954e-05,3.637978807091713e-14
SNP110,0.14067796610169492,4.7984507230770156e-05,2.333319267221595e-05,3.1529149661461513e-13
SNP1356,0.14067796610169492,4.413410889052708e-05,3.0062273267538888e-05,1.103520238151153e-12
SNP6059,0.1423728813559322,3.131071744671014e-05,1.8021316316394097e-05,1.2126596023639044e-14
SNP8744,0.1423728813559322,4.127186388359405e-05,2.7301769280898455e-05,1.2611659864584605e-12
SNP785,0.1423728813559322,1.9732365532642386e-05,2.3196400221381182e-05,-8.48861721654733e-14
SNP68,0.1423728813559322,2.9016519474680534e-05,2.152023469689254e-05,-3.1529149661461513e-13
SNP10914,0.1440677966101695,3.159976290286674e-05,1.5954709478296164e-05,-1.697723443309466e-13
SNP4743,0.1440677966101695,3.6841710921938406e-05,3.6357953635798175e-05,1.4627706453514595e-13
SNP6676,0.1440677966101695,3.7601218282361514e-05,1.679924865405642e-05,1.2126596023639043e-13
SNP5441,0.14576271186440679,4.14587808700162e-05,3.075607265951866e-05,1.079267046103875e-12
SNP11517,0.14576271186440679,3.914766778810493e-05,3.442375236147816e-05,-3.7592447673281034e-13
SNP13429,0.14576271186440679,4.779056633803217e-05,2.1992217695165136e-05,1.697723443309466e-13
SNP9171,0.14576271186440679,1.7374868499852405e-05,2.0459690636627394e-05,-8.48861721654733e-13
SNP3123,0.14745762711864407,4.4890323485257494e-05,3.24563977208892e-05,-5.760133111228545e-13
SNP2978,0.14745762711864407,4.006665825727396e-05,2.82489401081165e-05,4.8506384094556176e-14
SNP9838,0.14745762711864407,3.3516201328893656e-05,1.4121894281587318e-05,-3.5167128468553224e-13
SNP10465,0.14745762711864407,4.4080337271831616e-05,3.075275182104304e-05,6.063298011819521e-13
SNP6611,0.14745762711864407,3.02560583926e-05,1.9243520652589376e-05,3.637978807091713e-14
SNP7174,0.14745762711864407,3.095362011663383e-05,1.4372460198977125e-05,1.8189894035458566e-13
SNP674,0.14745762711864407,1.6268613526335683e-05,2.1695903984762034e-05,7.09405867382884e-13
SNP10924,0.14745762711864407,3.0937023572429706e-05,1.789824835461906e-05,2.1827872842550277e-13
SNP12458,0.14915254237288136,2.3316529326014764e-05,1.8366331945677858e-05,-1.2732925824820997e-13
SNP7403,0.14915254237288136,2.904425958452824e-05,1.8820339849287126e-05,-4.486840528746446e-13
SNP4887,0.14915254237288136,3.4695981715534195e-05,2.2886280309496613e-05,-3.1529149661461513e-13
SNP2875,0.14915254237288136,1.4502250669465866e-05,1.5051293537162432e-05,2.3040532444914184e-13
SNP10913,0.14915254237288136,2.880223460427563e-05,1.7454432766446444e-05,-7.882287415365378e-13
SNP169,0.14915254237288136,1.6081572448456426e-05,1.6148243194613318e-05,4.244308608273665e-14
SNP9436,0.15084745762711865,4.2682257165627866e-05,2.4609023925839538e-05,-1.1399000262220701e-12
SNP2082,0.15084745762711865,4.5274743952177234e-05,3.278161698087675e-05,6.063298011819522e-15
SNP11211,0.15084745762711865,4.580471925388944e-05,2.3668764264303124e-05,-5.456968210637569e-13
SNP9390,0.15254237288135594,2.0079933116600537e-05,2.0872487239489972e-05,-1.4551915228366852e-13
SNP10255,0.15254237288135594,4.4293179920108134e-05,3.2136753158996004e-05,3.941143707682689e-13
SNP12607,0.15254237288135594,3.406872204019843e-05,1.5035291214540791e-05,-4.608106488982837e-13
SNP12371,0.15254237288135594,4.07180762704229e-05,2.3829964862640863e-05,-1.697723443309466e-13
SNP2973,0.15423728813559323,2.7916101753362455e-05,1.4658181434267017e-05,-2.1827872842550277e-13
SNP6258,0.15423728813559323,3.951367032035099e-05,1.494217881579348e-05,7.275957614183426e-14
SNP4838,0.15423728813559323,4.035498055600328e-05,2.3881373703472153e-05,-3.0316490059097606e-13
SNP9116,0.15423728813559323,4.6291468267251426e-05,2.151533983229401e-05,-4.3655745685100554e-13
SNP8289,0.15423728813559323,3.88806969910623e-05,3.4508182318260846e-05,-5.962874638498761e-13
SNP46,0.15423728813559323,2.6667349108417207e-05,1.646780160360969e-05,3.880510727564494e-13
SNP9259,0.15593220338983052,4.049847682267682e-05,3.784507568040156e-05,-4.2480981695310525e-13
SNP12427,0.15593220338983052,4.742376935610082e-05,2.1058299038871743e-05,-7.275957614183426e-14
SNP8011,0.15593220338983052,1.554671089252224e-05,1.4967563464337064e-05,4.486840528746446e-13
SNP9986,0.15593220338983052,3.3718744865230596e-05,1.327058800968675e-05,-4.3655745685100554e-13
SNP1031,0.15593220338983052,4.24504216061905e-05,2.2848751238865544e-05,-7.761021455128988e-13
SNP11040,0.1576271186440678,2.7235987108724657e-05,1.8516766039289263e-05,4.729372449219227e-13
SNP5680,0.1576271186440678,1.4813513395589931e-05,2.0287175235631663e-05,2.5465851649641993e-13
SNP235,0.1576271186440678,2.7227877544646618e-05,1.3678216710424145e-05,3.2741809263825415e-13
SNP1658,0.1576271186440678,4.324623757080796e-05,1.9223371195742975e-05,3.880510727564494e-13
SNP13125,0.15932203389830507,2.089565299684182e-05,1.6439436274651615e-05,-1.4551915228366852e-13
SNP8802,0.15932203389830507,3.794800105727821e-05,3.174396030225684e-05,-2.5465851649641993e-13
SNP7915,0.15932203389830507,2.821713444670119e-05,1.88026389616261e-05,3.5167128468553224e-13
SNP6454,0.15932203389830507,1.9103846164701583e-05,1.9828048186604796e-05,4.668739469101031e-13
SNP12703,0.16101694915254236,4.283879672584589e-05,2.110131166635339e-05,1.5279510989785194e-12
SNP3832,0.16101694915254236,1.8016707799688446e-05,1.819853906300805e-05,2.7891170854369797e-13
SNP12253,0.16271186440677965,4.62983965796108e-05,1.937733937569866e-05,-7.275957614183426e-13
SNP10335,0.16271186440677965,2.349389313167194e-05,1.9084326364825758e-05,-1.3339255626002948e-13
SNP12575,0.16440677966101694,3.2710361774661576e-05,1.7020019202507903e-05,5.578234170873959e-13
SNP8316,0.16610169491525423,1.578186642897587e-05,1.7900353084865702e-05,-4.911271389573813e-13
SNP10396,0.16610169491525423,4.3319377364241516e-05,2.0916427900270946e-05,4.1230426480372745e-13
SNP14671,0.16610169491525423,3.8353796044248155e-05,2.816911590748066e-05,-4.1230426480372745e-13
SNP11601,0.16779661016949152,3.609088042746104e-05,3.2744617476014916e-05,4.18367562815547e-13
SNP5127,0.16779661016949152,4.0988187999270544e-05,1.7656094128738934e-05,-1.697723443309466e-13
SNP9046,0.16779661016949152,3.3705091021450546e-05,1.3945234534931518e-05,-2.4253192047278088e-14
SNP5390,0.16779661016949152,2.3035952460001377e-05,2.073182000463164e-05,-5.456968210637569e-13
SNP12950,0.16779661016949152,2.0159536034043414e-05,1.3946563537127775e-05,-5.456968210637569e-13
SNP3992,0.16779661016949152,2.545611566650526e-05,1.723781720138029e-05,-2.6678511252005895e-13
SNP8991,0.16779661016949152,1.3622767804311783e-05,1.4303533704655992e-05,-1.6674069532503683e-13
SNP3715,0.16779661016949152,4.0639859665437443e-05,2.3580542640748228e-05,1.5764574830730757e-13
SNP6445,0.1694915254237288,3.853376990567388e-05,2.4115069796726767e-05,2.6072181450823944e-13
SNP13710,0.1694915254237288,3.264062189070197e-05,1.9650830689349948e-05,-6.790893773237864e-13
SNP8098,0.1694915254237288,4.632421322943022e-05,2.1917846346165135e-05,-4.3655745685100554e-13
SNP5324,0.1694915254237288,4.709972932081049e-05,2.2124645514338732e-05,-3.395446886618932e-13
SNP3995,0.1694915254237288,3.8817949824381986e-05,3.462579337803953e-05,-4.865796654485166e-13
SNP12068,0.1711864406779661,2.3993436546637288e-05,1.679973250738196e-05,4.0624096679190794e-13
SNP1312,0.1711864406779661,3.8960472329563346e-05,3.091897159820534e-05,1.7280399333685637e-13
SNP7306,0.1711864406779661,3.88325526000699e-05,1.8477729033208608e-05,1.697723443309466e-13
SNP7061,0.1711864406779661,4.0195096783766837e-05,3.148435542814625e-05,-2.4253192047278088e-14
SNP4072,0.1711864406779661,1.88925096517778e-05,1.977925040940088e-05,2.0615213240186372e-13
SNP2586,0.1711864406779661,4.210224195655125e-05,2.2499279717090123e-05,2.4253192047278086e-13
SNP9268,0.17288135593220338,3.806519398494856e-05,2.2793950076189396e-05,7.154691653947035e-13
SNP11969,0.17288135593220338,3.7129194806766465e-05,3.2815044516926715e-05,-1.7583564234276612e-13
SNP2932,0.17288135593220338,4.04156506798851e-05,2.04141994746452e-05,-3.395446886618932e-13
SNP11406,0.17288135593220338,4.2075233101665316e-05,3.0342016781258832e-05,1.2763242314880093e-12
SNP390,0.17288135593220338,3.997381171757297e-05,3.0207234767628868e-05,-1.0822986951097846e-12
SNP6284,0.17288135593220338,4.149063842002457e-05,2.6255951624346993e-05,2.4253192047278088e-14
SNP7755,0.17457627118644067,1.7130660229061808e-05,1.896419820875626e-05,-3.4560798667371273e-13
SNP2248,0.17457627118644067,3.8068948254779876e-05,3.145358617489797e-05,2.5162686749051015e-13
SNP7110,0.17457627118644067,4.453349248554635e-05,2.590978859913448e-05,1.3703053506712118e-12
SNP12227,0.17457627118644067,4.392033500456212e-05,2.7369069827153667e-05,3.8198777474462985e-13
SNP9217,0.17457627118644067,3.735418155429216e-05,3.580624756004902e-05,-1.217207075872769e-12
SNP4023,0.17457627118644067,3.451603522989899e-05,2.0885372732360707e-05,4.8506384094556176e-14
SNP2159,0.17627118644067796,1.656753157779652e-05,1.6625040227947713e-05,-3.7592447673281034e-13
SNP7744,0.17627118644067796,3.672721875773277e-05,1.3524811203067684e-05,1.0428872580329578e-12
SNP3799,0.17627118644067796,3.714424448844511e-05,1.795849958139153e-05,-3.637978807091713e-13
SNP8995,0.17627118644067796,3.826551253344709e-05,2.0763284143810736e-05,-3.1529149661461513e-13
SNP2373,0.17627118644067796,3.7741595175854554e-05,1.9462710957416926e-05,-4.1230426480372745e-13
SNP533,0.17627118644067796,2.437307670940451e-05,2.1037190904080286e-05,-5.153803310046593e-13
SNP2955,0.17627118644067796,3.8667684590715606e-05,3.2390015127066795e-05,7.033425693710645e-13
SNP6334,0.17627118644067796,2.8021971666021272e-05,1.5592547145925324e-05,1.940255363782247e-13
SNP9459,0.17627118644067796,2.568346373057769e-05,2.0378329272886792e-05,2.6678511252005895e-13
SNP7214,0.17627118644067796,3.9130629738792776e-05,1.9396260800071513e-05,4.3655745685100554e-13
SNP4495,0.17796610169491525,3.986282161349664e-05,3.223126798456289e-05,-2.3040532444914184e-13
SNP13379,0.17796610169491525,3.603136209373285e-05,2.784839363019125e-05,3.2741809263825415e-13
SNP12030,0.17796610169491525,3.339324466651305e-05,1.6293119886254666e-05,-2.4253192047278086e-13
SNP2631,0.17796610169491525,4.381503548453717e-05,2.017966588947288e-05,7.033425693710645e-13
SNP7719,0.17796610169491525,3.981066237126167e-05,2.0614817839156894e-05,-4.3655745685100554e-13
SNP4588,0.17796610169491525,1.2921454914855227e-05,1.0042125597004823e-05,-2.3646862246096135e-13
SNP7002,0.17796610169491525,3.354799989513898e-05,1.4154653612740934e-05,-2.6678511252005895e-13
SNP9135,0.17966101694915254,2.5347620163908382e-05,1.4018887803316137e-05,-5.699500131110351e-13
SNP14972,0.17966101694915254,4.043712987064888e-05,2.3629628537867847e-05,4.0624096679190794e-13
SNP12236,0.17966101694915254,3.9732110756934465e-05,2.3991307840358132e-05,6.063298011819522e-14
SNP7115,0.17966101694915254,3.489714587582663e-05,2.161915062898463e-05,1.8189894035458566e-13
SNP13139,0.18135593220338983,1.671695021893053e-05,1.803808842132022e-05,-4.1230426480372745e-13
SNP9016,0.18135593220338983,4.338728106934771e-05,2.5213152715147393e-05,-1.7765463174631199e-12
SNP511,0.18135593220338983,2.3417374256193093e-05,1.4000588200642066e-05,-1.6370904631912708e-13
SNP13231,0.18135593220338983,3.279710854258156e-05,1.6136910762611046e-05,5.942032051583131e-13
SNP9452,0.18135593220338983,3.8410147644754034e-05,1.8483740541182943e-05,-4.0017766878008843e-13
SNP13019,0.18135593220338983,1.563810068546445e-05,1.9079647256874564e-05,2.3646862246096135e-13
SNP6080,0.18135593220338983,2.403795845869657e-05,1.5161441987507718e-05,9.094947017729283e-14
SNP10717,0.18135593220338983,4.539516293637765e-05,1.4192054529433719e-05,-1.2126596023639042e-12
SNP4998,0.18135593220338983,4.520785963298598e-05,2.052309644162427e-05,-3.1529149661461513e-13
SNP327,0.18305084745762712,2.8275666760843402e-05,1.69625909956327e-05,-5.214436290164789e-13
SNP10541,0.18305084745762712,4.310772405005992e-05,1.919091485316387e-05,1.940255363782247e-13
SNP11979,0.18305084745762712,3.3748569764308436e-05,3.1388124300806185e-05,-3.1832314562052486e-13
SNP4060,0.18305084745762712,4.12620093266014e-05,2.5546327916509256e-05,-1.4551915228366852e-13
SNP4305,0.18305084745762712,3.779562874115072e-05,1.8952818471066967e-05,-1.4551915228366852e-13
SNP8162,0.18305084745762712,1.6823562727950048e-05,1.560751880887815e-05,8.48861721654733e-14
SNP3426,0.18305084745762712,1.3559391533514523e-05,1.5225622629815868e-05,-4.5171570188055434e-13
SNP553,0.18305084745762712,1.4551408172944017e-05,1.778572567623731e-05,-6.97279271359245e-13
SNP4271,0.18305084745762712,3.505203455764179e-05,1.7210510183281458e-05,-7.275957614183426e-13
SNP9710,0.1847457627118644,2.7157353785393448e-05,1.3914107120034159e-05,1.697723443309466e-13
SNP14627,0.1847457627118644,3.2642865771776994e-05,2.211779571794102e-05,-3.1529149661461513e-13
SNP9196,0.1847457627118644,2.6771275067100457e-05,2.3954592547836693e-05,-4.0017766878008843e-13
SNP9732,0.1847457627118644,3.7529768900033866e-05,1.753868348679879e-05,-1.8189894035458566e-13
SNP11484,0.1847457627118644,1.7054631880455416e-05,1.490046128956346e-05,-1.1520266222457092e-13
SNP12525,0.1847457627118644,4.360639133665245e-05,2.2693134023809623e-05,-5.093170329928399e-13
SNP1340,0.1847457627118644,3.800447486355552e-05,2.2965810702209744e-05,1.1095835361629724e-12
SNP1395,0.1847457627118644,4.7386256701429376e-05,2.0916075679891157e-05,4.608106488982837e-13
SNP7038,0.1864406779661017,2.7983150248473974e-05,2.0685431564741374e-05,-4.0017766878008843e-13
SNP14196,0.1864406779661017,3.768801559393372e-05,1.8348480828890576e-05,-1.2126596023639044e-14
SNP1831,0.1864406779661017,4.0307371070108884e-05,3.361581165564808e-05,5.547917680814862e-13
SNP3032,0.1864406779661017,3.1439032160657616e-05,1.3406140002633413e-05,2.5465851649641993e-13
SNP12174,0.1864406779661017,3.537005077911696e-05,1.646599213512173e-05,-2.6678511252005895e-13
SNP731,0.1864406779661017,1.4070462845362877e-05,1.4604981653719427e-05,4.0017766878008843e-13
SNP685,0.188135593220339,4.3589956494543006e-05,3.266613333314758e-05,-5.032537349810203e-13
SNP82,0.188135593220339,2.7259619334169352e-05,1.4185340069560477e-05,-2.4253192047278086e-13
SNP13293,0.188135593220339,3.944501987765155e-05,2.326193899614035e-05,-2.3040532444914184e-13
SNP4106,0.188135593220339,2.9689803911120785e-05,2.2649757449447358e-05,-1.8189894035458566e-13
SNP1301,0.188135593220339,3.610935149784685e-05,2.726040290681789e-05,1.0156024169797699e-12
SNP4469,0.18983050847457628,2.2544677898016136e-05,2.3411845666308813e-05,-4.1230426480372745e-13
SNP6449,0.18983050847457628,3.8494946214389835e-05,2.6076277502352717e-05,-6.063298011819522e-14
SNP7222,0.18983050847457628,3.7199558961826065e-05,1.6626224319525574e-05,-9.701276818911235e-14
SNP10862,0.18983050847457628,2.1198287098134945e-05,1.921141822917674e-05,-6.366462912410497e-13
SNP1001,0.18983050847457628,4.211651081277523e-05,1.9766884987936236e-05,1.0913936421275138e-12
SNP5482,0.18983050847457628,3.716252238518791e-05,2.199493878056388e-05,-2.5465851649641993e-13
SNP11251,0.18983050847457628,3.576512298119875e-05,2.1737369437270444e-05,-1.4551915228366852e-13
SNP7698,0.19152542372881357,1.8904885212881102e-05,1.2526112720205479e-05,-2.9710160257915655e-13
SNP11175,0.19152542372881357,3.641558870337273e-05,3.493853982856359e-05,-7.654913739922146e-13
SNP6468,0.19152542372881357,3.687191528418528e-05,3.13625609802421e-05,4.547473508864641e-13
SNP8131,0.19152542372881357,3.7893540666118495e-05,2.3739823463104336e-05,6.245196952174107e-13
SNP11221,0.19152542372881357,3.430966131418245e-05,2.1814123613055818e-05,1.176279814292987e-12
SNP2477,0.19152542372881357,2.1643771942763125e-05,1.4266663451081437e-05,-3.637978807091713e-14
SNP7152,0.19152542372881357,1.847884265468262e-05,1.6933733485228804e-05,2.1221543041368326e-13
SNP11478,0.19322033898305085,3.9745379811696084e-05,1.978731897824621e-05,9.701276818911235e-14
SNP2562,0.19322033898305085,3.546699339494808e-05,1.485882542135121e-05,8.36735125631094e-13
SNP6741,0.19322033898305085,3.656986951076154e-05,2.6276880822319183e-05,-1.5158245029548803e-13
SNP9563,0.19322033898305085,2.7281146176392214e-05,1.2485103722466664e-05,4.8506384094556176e-14
SNP157,0.19322033898305085,1.0244176437481655e-05,1.250448786912783e-05,1.1217101321866115e-13
SNP14971,0.19322033898305085,3.369791196746519e-05,1.5793057695209304e-05,-2.7891170854369797e-13
SNP8919,0.19322033898305085,1.8862653632822912e-05,1.8348192485980068e-05,-8.48861721654733e-14
SNP3697,0.19322033898305085,3.918894810340134e-05,1.942503221515806e-05,5.456968210637569e-13
